"file_name","Morph","obs_id","usr_id","date","latitude","longitude","taxon","img_cnt","img_id","img_url","width","height","license","annotations","tags","download_time"
"01WlPHRGEeuB1LPw.jpg","S",40962666,2424822,"2020-03-28",41.3884702768,-72.9542306142,"Plethodon cinereus",1,64948847,"https://static.inaturalist.org/photos/64948847/original.jpg?1585493538",2048,1536,"cc-by-nc","","","2020Aug05-11:41:44"
"02QvQKkh7S16KkFe.jpg","U",22064979,1574846,"2018-09-03",44.6086916667,-69.3258283333,"Plethodon cinereus",2,34170442,"https://static.inaturalist.org/photos/34170442/original.jpg?1554515389",1536,2048,"cc-by-nc","","","2020Aug05-11:39:55"
"033xG1BwaFw2Ckop.jpg","S",39536517,185022,"2020-03-03",39.4752657926,-82.5521776267,"Plethodon cinereus",1,62735398,"https://static.inaturalist.org/photos/62735398/original.jpg?1583343899",1536,2048,"","","","2020Aug05-11:40:44"
"03jnhYZVAqhhH1lH.jpg","S",51606928,53138,"2020-07-01",46.3751633333,-84.1118471667,"Plethodon cinereus",1,82005012,"https://static.inaturalist.org/photos/82005012/original.jpg?1593627482",2048,1536,"cc-by-nc","","","2020Aug05-11:42:00"
"03NHj7kZjnxAWZMy.jpg","U",39607764,1036962,"2011-05-08",44.4827876116,-76.0328220411,"Plethodon cinereus",1,62854524,"https://static.inaturalist.org/photos/62854524/original.jpg?1583498855",1015,630,"cc-by-nc","","","2020Aug05-11:40:44"
"03uImgywnibKN9xF.jpg","U",11563498,755001,"2018-04-24",39.8640692507,-86.0240607182,"Plethodon cinereus",1,16514264,"https://static.inaturalist.org/photos/16514264/original.jpg?1524879465",1536,2048,"","","","2020Aug05-11:39:00"
"0452yyRlUGGQCWSJ.jpg","S",34789055,730626,"2019-10-18",45.438457,-76.026614,"Plethodon cinereus",1,54794563,"https://static.inaturalist.org/photos/54794563/original.jpg?1571849598",459,479,"cc-by-nc","","","2020Aug05-11:41:01"
"04LKbYl8EQr5SBqr.jpg","U",19537296,1360042,"2019-01-07",38.0175931,-77.9208521,"Plethodon cinereus",1,30068295,"https://static.inaturalist.org/photos/30068295/original.jpeg?1547063992",2048,1365,"cc-by-nc","","","2020Aug05-11:40:01"
"06cHn8Ya2i9hUuZa.jpg","S",16216877,575853,"2018-09-03",45.7912635803,-74.0422515869,"Plethodon cinereus",2,24332970,"https://static.inaturalist.org/photos/24332970/original.jpeg?1536101816",2048,1152,"","","","2020Aug05-11:38:37"
"09CDmmumgd8xINEb.jpg","S",29547259,1173431,"2019-07-14",44.9195416667,-78.0533611667,"Plethodon cinereus",1,46118989,"https://static.inaturalist.org/photos/46118989/original.jpg?1564103379",1536,2048,"","","","2020Aug05-11:40:29"
"0afUJka3lU4FhTIK.jpg","S",39831977,458167,"2020-03-10",37.2826722222,-80.4682527778,"Plethodon cinereus",1,63234527,"https://static.inaturalist.org/photos/63234527/original.jpeg?1583912478",2048,1482,"cc-by-nc","","","2020Aug05-11:40:44"
"0BHiRRFOAIgasbk3.jpg","U",21923669,1464116,"2019-04-02",40.2959923471,-87.6454564,"Plethodon cinereus",1,33972872,"https://static.inaturalist.org/photos/33972872/original.jpg?1554242232",1536,2048,"cc-by-nc","","","2020Aug05-11:39:55"
"0Buptz7TvVh2KEEb.jpg","S",37509712,196930,"2020-01-11",41.315375,-72.60173,"Plethodon cinereus",1,59476011,"https://static.inaturalist.org/photos/59476011/original.jpg?1578799137",2048,1751,"cc-by-nc","","","2020Aug05-11:40:52"
"0c2BnkLwlPN7EXqH.jpg","U",42406409,8784,"2020-04-17",40.8587564041,-73.9249341434,"Plethodon cinereus",2,67331128,"https://static.inaturalist.org/photos/67331128/original.jpg?1587146758",1536,2048,"cc-by-nc","","","2020Aug05-11:41:33"
"0Castb55KP0BUapQ.jpg","S",43976177,2599779,"2020-04-25",44.6418416667,-63.5995216667,"Plethodon cinereus",2,69733802,"https://static.inaturalist.org/photos/69733802/original.jpg?1588018583",1536,2048,"cc-by-nc","","","2020Aug05-11:41:24"
